ObservationIndex,ID,Site,Plot,Time,Grid_X,Grid_Y
1,1,1,1,1,212527,820214
9,2,1,2,1,212495,820173
18,3,1,3,1,212468,820198
27,4,2,1,1,211606,819820
38,5,2,2,1,211961,819910
46,6,2,3,1,211733,819793
53,7,3,1,1,209650,820408
60,8,3,2,1,209477,820390
68,9,3,3,1,209527,820352
76,10,4,1,1,209745,820894
82,11,4,2,1,209842,820897
91,12,4,3,1,209792,820932
101,13,5,1,1,208220,819946
105,14,5,2,1,208779,820036
118,15,5,3,1,208544,820053
129,16,6,1,1,205803,818004
139,17,6,2,1,206112,818073
149,18,6,3,1,205930,818001
164,19,7,1,1,205205,818463
173,20,7,2,1,205773,818728
186,21,7,3,1,205381,818550
190,22,8,1,1,223516,825891
197,23,8,2,1,223478,825843
207,24,8,3,2,223457,825820
211,25,8,4,1,223845,825893
218,26,8,5,1,223821,825929
228,27,9,1,1,214590,821089
231,28,9,2,1,214613,821088
243,29,9,3,1,214876,821044
257,30,9,4,1,216455,822114
267,31,9,5,1,216452,822065
275,32,10,1,1,235592,817787
285,33,10,2,1,235570,817892
295,34,10,3,1,235496,818006
305,35,11,1,1,233892,816697
317,36,11,2,1,233746,816435
326,37,11,3,1,233848,816707
334,38,12,1,1,228676,816354
340,39,12,2,1,228711,816323
347,40,12,3,1,228610,816350
353,41,13,4,1,223910,826257
367,42,13,5,1,223873,826234
371,43,14,4,1,217390,822196
382,44,14,5,1,217398,822197
389,45,15,1,1,220711,825142
395,46,15,2,1,220773,825120
401,47,15,3,1,220715,825199
410,48,15,4,1,220682,824835
415,49,15,5,1,220581,825081
422,50,16,1,1,222513,824993
432,51,16,2,1,222581,825048
445,52,16,3,1,222970,825352
