SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
1,Athnamulloch 1,1,1,1,Reforestation,Ungrazed,1,Calluna vulgaris,7,212527,820214,1
2,Athnamulloch 2,1,1,,Reforestation,Ungrazed,1,Erica cinerea,1,212527,820214,1
8,Athnamulloch 3,1,1,,Reforestation,Ungrazed,1,Festuca rubra,3,212527,820214,1
5,Athnamulloch 4,1,1,,Reforestation,Ungrazed,1,Hylocomium splendens,7,212527,820214,1
12,Athnamulloch 5,1,1,,Reforestation,Ungrazed,1,Lichen,4,212527,820214,1
13,Athnamulloch 6,1,1,,Reforestation,Ungrazed,1,Litter,6,212527,820214,1
10,Athnamulloch 7,1,1,,Reforestation,Ungrazed,1,Liverwort sp.,3,212527,820214,1
7,Athnamulloch 8,1,1,,Reforestation,Ungrazed,1,Molinia caerulea,4,212527,820214,1
11,Athnamulloch 9,1,1,,Reforestation,Ungrazed,1,Moss sp.,4,212527,820214,1
4,Athnamulloch 10,1,1,,Reforestation,Ungrazed,1,Pleurozium schreberi,8,212527,820214,1
6,Athnamulloch 11,1,1,,Reforestation,Ungrazed,1,Polytrichum sp.,3,212527,820214,1
9,Athnamulloch 12,1,1,,Reforestation,Ungrazed,1,Sorbus aucuparia,3,212527,820214,1
3,Athnamulloch 13,1,1,,Reforestation,Ungrazed,1,Vaccinium myrtillus,4,212527,820214,1
16,Athnamulloch 14,1,1,,Reforestation,Ungrazed,2,Calluna vulgaris,4,212527,820214,1
17,Athnamulloch 15,1,1,,Reforestation,Ungrazed,2,Erica tetralix,3,212527,820214,1
25,Athnamulloch 16,1,1,,Reforestation,Ungrazed,2,Hylocomium splendens,3,212527,820214,1
22,Athnamulloch 17,1,1,,Reforestation,Ungrazed,2,Lichen,4,212527,820214,1
23,Athnamulloch 18,1,1,,Reforestation,Ungrazed,2,Litter,8,212527,820214,1
20,Athnamulloch 19,1,1,,Reforestation,Ungrazed,2,Molinia caerulea,4,212527,820214,1
19,Athnamulloch 20,1,1,,Reforestation,Ungrazed,2,Narthecium ossifragum,3,212527,820214,1
24,Athnamulloch 21,1,1,,Reforestation,Ungrazed,2,Pleurozium schreberi,3,212527,820214,1
18,Athnamulloch 22,1,1,,Reforestation,Ungrazed,2,Potentilla erecta,2,212527,820214,1
26,Athnamulloch 23,1,1,,Reforestation,Ungrazed,2,Racomitrium sp.,3,212527,820214,1
21,Athnamulloch 24,1,1,,Reforestation,Ungrazed,2,Sphagnum sp.,9,212527,820214,1
27,Athnamulloch 25,1,1,,Reforestation,Ungrazed,3,Calluna vulgaris,8,212527,820214,1
31,Athnamulloch 26,1,1,,Reforestation,Ungrazed,3,Erica tetralix,3,212527,820214,1
32,Athnamulloch 27,1,1,,Reforestation,Ungrazed,3,Hylocomium splendens,4,212527,820214,1
30,Athnamulloch 28,1,1,,Reforestation,Ungrazed,3,Molinia caerulea,4,212527,820214,1
33,Athnamulloch 29,1,1,,Reforestation,Ungrazed,3,Narthecium ossifragum,2,212527,820214,1
34,Athnamulloch 30,1,1,,Reforestation,Ungrazed,3,Pleurozium schreberi,4,212527,820214,1
29,Athnamulloch 31,1,1,,Reforestation,Ungrazed,3,Sphagnum sp.,9,212527,820214,1
28,Athnamulloch 32,1,1,,Reforestation,Ungrazed,3,Vaccinium myrtillus,3,212527,820214,1
15,Athnamulloch 33,1,1,,Reforestation,Ungrazed,NA,Blechnum spicant,NA,212527,820214,1
14,Athnamulloch 34,1,1,,Reforestation,Ungrazed,NA,Scirpus cespitosus,NA,212527,820214,1
175,Athnamulloch 1,1,2,2,Unforested,Grazed,1,Dryopteris filix-mas,1,211606,819820,2
176,Athnamulloch 2,1,2,,Unforested,Grazed,1,Holcus mollis,5,211606,819820,2
181,Athnamulloch 3,1,2,,Unforested,Grazed,1,Hylocomium splendens,4,211606,819820,2
178,Athnamulloch 4,1,2,,Unforested,Grazed,1,Litter,7,211606,819820,2
174,Athnamulloch 5,1,2,,Unforested,Grazed,1,Oxalis acetosella,1,211606,819820,2
179,Athnamulloch 6,1,2,,Unforested,Grazed,1,Poa nemoralis,5,211606,819820,2
177,Athnamulloch 7,1,2,,Unforested,Grazed,1,Polytrichum sp.,5,211606,819820,2
172,Athnamulloch 8,1,2,,Unforested,Grazed,1,Potentilla erecta,3,211606,819820,2
173,Athnamulloch 9,1,2,,Unforested,Grazed,1,Rhytidiadelphus sp.,4,211606,819820,2
180,Athnamulloch 10,1,2,,Unforested,Grazed,1,Sorbus aucuparia,3,211606,819820,2
184,Athnamulloch 11,1,2,,Unforested,Grazed,1,Sphagnum sp.,7,211606,819820,2
186,Athnamulloch 12,1,2,,Unforested,Grazed,2,Dryopteris filix-mas,1,211606,819820,2
185,Athnamulloch 13,1,2,,Unforested,Grazed,2,Festuca arundinacea,3,211606,819820,2
