Site,PlotType,Forest_status,Grazing_status,PlotID,Species,Grid_X,Grid_Y
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Fringilla coelebs,212503,820356
1,1,Reforestation,Ungrazed,1,Pyrrhula pyrrhula,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Fringilla coelebs,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Troglodytes troglodytes,212503,820356
1,1,Reforestation,Ungrazed,1,Carduelis cabaret,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Anthus trivialis,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Troglodytes troglodytes,212503,820356
1,1,Reforestation,Ungrazed,1,Anthus pratensis,212503,820356
1,1,Reforestation,Ungrazed,1,Carduelis cabaret,212503,820356
1,1,Reforestation,Ungrazed,1,Phylloscopus trochilus,212503,820356
1,1,Reforestation,Ungrazed,1,Troglodytes troglodytes,212503,820356
1,2,Unforested,Grazed,2,Anthus pratensis,212430,820123
1,2,Unforested,Grazed,2,Carduelis cabaret,212430,820123
1,3,Unforested,Ungrazed,3,Carduelis cabaret,212409,820252
1,3,Unforested,Ungrazed,3,Fringilla coelebs,212409,820252
1,3,Unforested,Ungrazed,3,Troglodytes troglodytes,212409,820252
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Troglodytes troglodytes,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Carduelis cabaret,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Erithacus rubecula,211579,819791
2,1,Reforestation,Ungrazed,4,Carduelis cabaret,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Anthus pratensis,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,1,Reforestation,Ungrazed,4,Phylloscopus trochilus,211579,819791
2,2,Unforested,Grazed,5,Periparus ater,212215,820001
2,2,Unforested,Grazed,5,Phylloscopus trochilus,212215,820001
2,2,Unforested,Grazed,5,Phylloscopus trochilus,212215,820001
2,2,Unforested,Grazed,5,Phylloscopus trochilus,212215,820001
5,1,Reforestation,Ungrazed,6,Saxicola torquata,208219,819945
5,1,Reforestation,Ungrazed,6,Troglodytes troglodytes,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Carduelis cabaret,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Carduelis cabaret,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Phylloscopus trochilus,208219,819945
5,1,Reforestation,Ungrazed,6,Anthus pratensis,208219,819945
5,1,Reforestation,Ungrazed,6,Carduelis cabaret,208219,819945
5,2,Unforested,Grazed,7,Anthus pratensis,208589,819963
5,2,Unforested,Grazed,7,Carduelis cabaret,208589,819963
5,2,Unforested,Grazed,7,Anthus pratensis,208589,819963
5,2,Unforested,Grazed,7,Anthus pratensis,208589,819963
5,2,Unforested,Grazed,7,Anthus pratensis,208589,819963
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
5,3,Unforested,Ungrazed,8,Phylloscopus trochilus,208948,820102
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
5,3,Unforested,Ungrazed,8,Phylloscopus trochilus,208948,820102
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
5,3,Unforested,Ungrazed,8,Anthus pratensis,208948,820102
7,1,Reforestation,Ungrazed,9,Phylloscopus trochilus,205200,818468
7,1,Reforestation,Ungrazed,9,Fringilla coelebs,205200,818468
7,1,Reforestation,Ungrazed,9,Fringilla coelebs,205200,818468
7,1,Reforestation,Ungrazed,9,Phylloscopus trochilus,205200,818468
7,1,Reforestation,Ungrazed,9,Phylloscopus trochilus,205200,818468
7,1,Reforestation,Ungrazed,9,Troglodytes troglodytes,205200,818468
7,1,Reforestation,Ungrazed,9,Parus major,205200,818468
7,1,Reforestation,Ungrazed,9,Erithacus rubecula,205200,818468
7,1,Reforestation,Ungrazed,9,Anthus trivialis,205200,818468
7,1,Reforestation,Ungrazed,9,Phylloscopus trochilus,205200,818468
7,1,Reforestation,Ungrazed,9,Fringilla coelebs,205200,818468
7,1,Reforestation,Ungrazed,9,Anthus pratensis,205200,818468
7,1,Reforestation,Ungrazed,9,Anthus pratensis,205200,818468
7,1,Reforestation,Ungrazed,9,Phylloscopus trochilus,205200,818468
7,1,Reforestation,Ungrazed,9,Phoenicurus phoenicurus,205200,818468
7,2,Unforested,Grazed,10,Phylloscopus trochilus,205851,818738
7,2,Unforested,Grazed,10,Fringilla coelebs,205851,818738
7,3,Unforested,Ungrazed,11,Carduelis cabaret,205573,818628
7,3,Unforested,Ungrazed,11,Lophophanes cristatus,205573,818628
7,3,Unforested,Ungrazed,11,Phylloscopus trochilus,205573,818628
7,3,Unforested,Ungrazed,11,Periparus ater,205573,818628
7,3,Unforested,Ungrazed,11,Parus major,205573,818628
7,3,Unforested,Ungrazed,11,Phylloscopus trochilus,205573,818628
7,3,Unforested,Ungrazed,11,Periparus ater,205573,818628
7,3,Unforested,Ungrazed,11,Anthus trivialis,205573,818628
8,1,Reforestation,Ungrazed,12,Carduelis cabaret,223559,825876
8,1,Reforestation,Ungrazed,12,Periparus ater,223559,825876
8,1,Reforestation,Ungrazed,12,Anthus trivialis,223559,825876
8,1,Reforestation,Ungrazed,12,Anthus pratensis,223559,825876
8,1,Reforestation,Ungrazed,12,Anthus pratensis,223559,825876
8,1,Reforestation,Ungrazed,12,Anthus pratensis,223559,825876
8,1,Reforestation,Ungrazed,12,Anthus pratensis,223559,825876
8,1,Reforestation,Ungrazed,12,Anthus trivialis,223559,825876
8,1,Reforestation,Ungrazed,12,Turdus philomelos,223559,825876
8,1,Reforestation,Ungrazed,12,Troglodytes troglodytes,223559,825876
8,1,Reforestation,Ungrazed,12,Turdus philomelos,223559,825876
8,1,Reforestation,Ungrazed,12,Troglodytes troglodytes,223559,825876
8,1,Reforestation,Ungrazed,12,Cuculus canorus,223559,825876
8,1,Reforestation,Ungrazed,12,Turdus philomelos,223559,825876
8,1,Reforestation,Ungrazed,12,Troglodytes troglodytes,223559,825876
8,1,Reforestation,Ungrazed,12,Troglodytes troglodytes,223559,825876
8,1,Reforestation,Ungrazed,12,Troglodytes troglodytes,223559,825876
8,1,Reforestation,Ungrazed,12,Periparus ater,223559,825876
8,1,Reforestation,Ungrazed,12,Turdus philomelos,223559,825876
8,1,Reforestation,Ungrazed,12,Phylloscopus trochilus,223559,825876
8,1,Reforestation,Ungrazed,12,Turdus philomelos,223559,825876
8,1,Reforestation,Ungrazed,12,Phylloscopus trochilus,223559,825876
8,1,Reforestation,Ungrazed,12,Parus major,223559,825876
8,1,Reforestation,Ungrazed,12,Carduelis spinus,223559,825876
8,3,Unforested,Ungrazed,13,Anthus pratensis,223417,825896
8,3,Unforested,Ungrazed,13,Carduelis cabaret,223417,825896
8,3,Unforested,Ungrazed,13,Parus major,223417,825896
8,3,Unforested,Ungrazed,13,Regulus regulus,223417,825896
8,3,Unforested,Ungrazed,13,Phylloscopus trochilus,223417,825896
8,4,Mature,Grazed,14,Anthus pratensis,223894,825870
8,4,Mature,Grazed,14,Anthus trivialis,223894,825870
8,4,Mature,Grazed,14,Phylloscopus trochilus,223894,825870
8,4,Mature,Grazed,14,Erithacus rubecula,223894,825870
8,4,Mature,Grazed,14,Turdus philomelos,223894,825870
8,4,Mature,Grazed,14,Troglodytes troglodytes,223894,825870
8,4,Mature,Grazed,14,Turdus viscivorus,223894,825870
8,4,Mature,Grazed,14,Phylloscopus trochilus,223894,825870
8,4,Mature,Grazed,14,Fringilla coelebs,223894,825870
8,4,Mature,Grazed,14,Anthus trivialis,223894,825870
8,4,Mature,Grazed,14,Parus major,223894,825870
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
8,5,Mature,Ungrazed,15,Anthus trivialis,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Cyanistes caeruleus,223747,825928
8,5,Mature,Ungrazed,15,Cyanistes caeruleus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
8,5,Mature,Ungrazed,15,Troglodytes troglodytes,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Fringilla coelebs,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Fringilla coelebs,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
8,5,Mature,Ungrazed,15,Carduelis cabaret,223747,825928
8,5,Mature,Ungrazed,15,Phylloscopus trochilus,223747,825928
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
8,5,Mature,Ungrazed,15,Anthus pratensis,223747,825928
9,1,Reforestation,Ungrazed,16,Anthus pratensis,214884,821038
9,1,Reforestation,Ungrazed,16,Anthus pratensis,214884,821038
9,1,Reforestation,Ungrazed,16,Fringilla coelebs,214884,821038
9,1,Reforestation,Ungrazed,16,Carduelis cabaret,214884,821038
9,1,Reforestation,Ungrazed,16,Troglodytes troglodytes,214884,821038
9,1,Reforestation,Ungrazed,16,Regulus regulus,214884,821038
9,1,Reforestation,Ungrazed,16,Anthus trivialis,214884,821038
9,1,Reforestation,Ungrazed,16,Fringilla coelebs,214884,821038
9,1,Reforestation,Ungrazed,16,Regulus regulus,214884,821038
9,1,Reforestation,Ungrazed,16,Carduelis cabaret,214884,821038
9,1,Reforestation,Ungrazed,16,Anthus trivialis,214884,821038
9,1,Reforestation,Ungrazed,16,Phylloscopus trochilus,214884,821038
9,1,Reforestation,Ungrazed,16,Anthus trivialis,214884,821038
9,1,Reforestation,Ungrazed,16,Anthus trivialis,214884,821038
9,1,Reforestation,Ungrazed,16,Troglodytes troglodytes,214884,821038
9,2,Unforested,Grazed,17,Anthus pratensis,214534,820989
9,2,Unforested,Grazed,17,Carduelis cabaret,214534,820989
9,2,Unforested,Grazed,17,Regulus regulus,214534,820989
9,2,Unforested,Grazed,17,Carduelis spinus,214534,820989
9,4,Mature,Grazed,18,Anthus pratensis,216490,822140
9,4,Mature,Grazed,18,Anthus trivialis,216490,822140
9,4,Mature,Grazed,18,Fringilla coelebs,216490,822140
9,4,Mature,Grazed,18,Carduelis cabaret,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Fringilla coelebs,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Lophophanes cristatus,216490,822140
9,4,Mature,Grazed,18,Regulus regulus,216490,822140
9,4,Mature,Grazed,18,Anthus trivialis,216490,822140
9,4,Mature,Grazed,18,Fringilla coelebs,216490,822140
9,4,Mature,Grazed,18,Regulus regulus,216490,822140
9,4,Mature,Grazed,18,Regulus regulus,216490,822140
9,4,Mature,Grazed,18,Anthus trivialis,216490,822140
9,4,Mature,Grazed,18,Anthus trivialis,216490,822140
9,4,Mature,Grazed,18,Fringilla coelebs,216490,822140
9,4,Mature,Grazed,18,Carduelis spinus,216490,822140
9,4,Mature,Grazed,18,Fringilla coelebs,216490,822140
9,4,Mature,Grazed,18,Carduelis cabaret,216490,822140
9,4,Mature,Grazed,18,Anthus trivialis,216490,822140
9,4,Mature,Grazed,18,Carduelis spinus,216490,822140
9,4,Mature,Grazed,18,Regulus regulus,216490,822140
9,4,Mature,Grazed,18,Anthus trivialis,216490,822140
9,4,Mature,Grazed,18,Anthus pratensis,216490,822140
9,4,Mature,Grazed,18,Phylloscopus trochilus,216490,822140
9,4,Mature,Grazed,18,Phylloscopus trochilus,216490,822140
9,4,Mature,Grazed,18,Phylloscopus trochilus,216490,822140
9,5,Mature,Ungrazed,19,Anthus pratensis,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Falco columbarius,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Anthus pratensis,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Phylloscopus trochilus,216576,821985
9,5,Mature,Ungrazed,19,Anthus pratensis,216576,821985
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Saxicola torquata,235548,827621
10,1,Reforestation,Ungrazed,20,Saxicola torquata,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Phylloscopus trochilus,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,2,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,2,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,2,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
10,3,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,1,Reforestation,Ungrazed,20,Anthus pratensis,235548,827621
11,2,Unforested,Grazed,21,Saxicola torquata,233685,816525
11,2,Unforested,Grazed,21,Alauda arvensis,233685,816525
11,2,Unforested,Grazed,21,Anthus pratensis,233685,816525
11,2,Unforested,Grazed,21,Anthus pratensis,233685,816525
11,2,Unforested,Grazed,21,Anthus pratensis,233685,816525
11,2,Unforested,Grazed,21,Anthus pratensis,233685,816525
11,2,Unforested,Grazed,21,Anthus pratensis,233685,816525
11,3,Unforested,Ungrazed,22,Phylloscopus trochilus,233766,816788
11,3,Unforested,Ungrazed,22,Anthus pratensis,233766,816788
11,3,Unforested,Ungrazed,22,Anthus pratensis,233766,816788
11,3,Unforested,Ungrazed,22,Anthus pratensis,233766,816788
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Alauda arvensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,1,Reforestation,Ungrazed,23,Anthus pratensis,228657,816382
12,2,Unforested,Grazed,24,Phylloscopus trochilus,228729,816289
12,2,Unforested,Grazed,24,Anthus pratensis,228729,816289
12,2,Unforested,Grazed,24,Anthus pratensis,228729,816289
12,2,Unforested,Grazed,24,Anthus pratensis,228729,816289
12,2,Unforested,Grazed,24,Anthus pratensis,228729,816289
12,3,Unforested,Ungrazed,25,Phylloscopus trochilus,228576,816305
12,3,Unforested,Ungrazed,25,Anthus pratensis,228576,816305
12,3,Unforested,Ungrazed,25,Anthus pratensis,228576,816305
12,3,Unforested,Ungrazed,25,Anthus trivialis,228576,816305
12,3,Unforested,Ungrazed,25,Turdus philomelos,228576,816305
12,3,Unforested,Ungrazed,25,Fringilla coelebs,228576,816305
