Site,PlotType,PlotID,Species,Grid_X,Grid_Y,Forest_status,Grazing_status
1,1,1,Calluna vulgaris,212527,820214,Reforestation,Ungrazed
1,1,1,Erica cinerea,212527,820214,Reforestation,Ungrazed
1,1,1,Vaccinium myrtillus,212527,820214,Reforestation,Ungrazed
1,1,1,Pleurozium schreberi,212527,820214,Reforestation,Ungrazed
1,1,1,Hylocomium splendens,212527,820214,Reforestation,Ungrazed
1,1,1,Polytrichum sp.,212527,820214,Reforestation,Ungrazed
1,1,1,Molinia caerulea,212527,820214,Reforestation,Ungrazed
1,1,1,Festuca rubra,212527,820214,Reforestation,Ungrazed
1,1,1,Sorbus aucuparia,212527,820214,Reforestation,Ungrazed
1,1,1,Liverwort sp.,212527,820214,Reforestation,Ungrazed
1,1,1,Moss sp.,212527,820214,Reforestation,Ungrazed
1,1,1,Lichen,212527,820214,Reforestation,Ungrazed
1,1,1,Litter,212527,820214,Reforestation,Ungrazed
1,1,1,Scirpus cespitosus,212527,820214,Reforestation,Ungrazed
1,1,1,Blechnum spicant,212527,820214,Reforestation,Ungrazed
1,1,1,Calluna vulgaris,212527,820214,Reforestation,Ungrazed
1,1,1,Erica tetralix,212527,820214,Reforestation,Ungrazed
1,1,1,Potentilla erecta,212527,820214,Reforestation,Ungrazed
1,1,1,Narthecium ossifragum,212527,820214,Reforestation,Ungrazed
1,1,1,Molinia caerulea,212527,820214,Reforestation,Ungrazed
1,1,1,Sphagnum sp.,212527,820214,Reforestation,Ungrazed
1,1,1,Lichen,212527,820214,Reforestation,Ungrazed
1,1,1,Litter,212527,820214,Reforestation,Ungrazed
1,1,1,Pleurozium schreberi,212527,820214,Reforestation,Ungrazed
1,1,1,Hylocomium splendens,212527,820214,Reforestation,Ungrazed
1,1,1,Racomitrium sp.,212527,820214,Reforestation,Ungrazed
1,1,1,Calluna vulgaris,212527,820214,Reforestation,Ungrazed
1,1,1,Vaccinium myrtillus,212527,820214,Reforestation,Ungrazed
1,1,1,Sphagnum sp.,212527,820214,Reforestation,Ungrazed
1,1,1,Molinia caerulea,212527,820214,Reforestation,Ungrazed
1,1,1,Erica tetralix,212527,820214,Reforestation,Ungrazed
1,1,1,Hylocomium splendens,212527,820214,Reforestation,Ungrazed
1,1,1,Narthecium ossifragum,212527,820214,Reforestation,Ungrazed
1,1,1,Pleurozium schreberi,212527,820214,Reforestation,Ungrazed
1,2,2,Sorbus aucuparia,212495,820173,Unforested,Grazed
1,2,2,Sphagnum sp.,212495,820173,Unforested,Grazed
1,2,2,Potentilla erecta,212495,820173,Unforested,Grazed
1,2,2,Calluna vulgaris,212495,820173,Unforested,Grazed
1,2,2,Molinia caerulea,212495,820173,Unforested,Grazed
1,2,2,Scirpus cespitosus,212495,820173,Unforested,Grazed
1,2,2,Polytrichum sp.,212495,820173,Unforested,Grazed
1,2,2,Racomitrium sp.,212495,820173,Unforested,Grazed
1,2,2,Vaccinium myrtillus,212495,820173,Unforested,Grazed
1,2,2,Narthecium ossifragum,212495,820173,Unforested,Grazed
1,2,2,Vaccinium myrtillus,212495,820173,Unforested,Grazed
1,2,2,Sphagnum sp.,212495,820173,Unforested,Grazed
1,2,2,Calluna vulgaris,212495,820173,Unforested,Grazed
1,2,2,Erica tetralix,212495,820173,Unforested,Grazed
1,2,2,Drosera rotundifolia,212495,820173,Unforested,Grazed
1,2,2,Eriophorum sp.,212495,820173,Unforested,Grazed
1,2,2,Narthecium ossifragum,212495,820173,Unforested,Grazed
1,2,2,Rhytidiadelphus sp.,212495,820173,Unforested,Grazed
1,2,2,Scirpus cespitosus,212495,820173,Unforested,Grazed
1,2,2,Litter ,212495,820173,Unforested,Grazed
1,2,2,Sphagnum sp.,212495,820173,Unforested,Grazed
1,2,2,Erica tetralix,212495,820173,Unforested,Grazed
1,2,2,Calluna vulgaris,212495,820173,Unforested,Grazed
