Site,PlotType,PlotID,Forest_status,Grazing_status,Grid_X,Grid_Y,BeetleSpecies,,BeetleFrequency
1,1,1,Reforestation,Ungrazed,212527,820214,Cychrus caraboides,,1
1,1,1,Reforestation,Ungrazed,212527,820214,Pterostichus diligens,,1
1,1,1,Reforestation,Ungrazed,212527,820214,Agonum fuliginosum,,2
1,1,1,Reforestation,Ungrazed,212527,820214,Carabus problematicus,,7
1,1,1,Reforestation,Ungrazed,212527,820214,Carabus glabratus,,22
1,1,1,Reforestation,Ungrazed,212527,820214,Cychrus caraboides,,4
1,1,1,Reforestation,Ungrazed,212527,820214,Leistus terminatus,,1
1,1,1,Reforestation,Ungrazed,212527,820214,Pterostichus diligens,,1
1,2,2,Unforested,Grazed,212495,820173,Cychrus caraboides,,7
1,2,2,Unforested,Grazed,212495,820173,Notiophilus palustris,,2
1,2,2,Unforested,Grazed,212495,820173,Pterostichus diligens,,1
1,2,2,Unforested,Grazed,212495,820173,Pterostichus rhaeticus,,1
1,2,2,Unforested,Grazed,212495,820173,Agonum fuliginosum,,14
1,2,2,Unforested,Grazed,212495,820173,Pterostichus diligens,,1
1,2,2,Unforested,Grazed,212495,820173,Pterostichus rhaeticus,,3
1,2,2,Unforested,Grazed,212495,820173,Carabus problematicus,,1
1,2,2,Unforested,Grazed,212495,820173,Cychrus caraboides,,3
1,3,3,Unforested,Ungrazed,212468,820198,Agonum fuliginosum,,1
1,3,3,Unforested,Ungrazed,212468,820198,Pterostichus diligens,,15
1,3,3,Unforested,Ungrazed,212468,820198,Pterostichus rhaeticus,,1
1,3,3,Unforested,Ungrazed,212468,820198,Agonum fuliginosum,,3
1,3,3,Unforested,Ungrazed,212468,820198,Cychrus caraboides,,14
1,3,3,Unforested,Ungrazed,212468,820198,Pterostichus diligens,,2
1,3,3,Unforested,Ungrazed,212468,820198,Pterostichus rhaeticus,,3
1,3,3,Unforested,Ungrazed,212468,820198,Agonum fuliginosum,,1
1,3,3,Unforested,Ungrazed,212468,820198,Carabus problematicus,,24
2,1,4,Reforestation,Ungrazed,211606,819820,Agonum fuliginosum,,1
2,1,4,Reforestation,Ungrazed,211606,819820,Carabus glabratus,,3
2,1,4,Reforestation,Ungrazed,211606,819820,Trechus obtusus,,12
2,1,4,Reforestation,Ungrazed,211606,819820,Agonum fuliginosum,,13
2,1,4,Reforestation,Ungrazed,211606,819820,Carabus glabratus,,8
2,1,4,Reforestation,Ungrazed,211606,819820,Leistus terminatus,,3
2,1,4,Reforestation,Ungrazed,211606,819820,Trechus obtusus,,6
2,1,4,Reforestation,Ungrazed,211606,819820,Carabus glabratus,,1
2,1,4,Reforestation,Ungrazed,211606,819820,Carabus problematicus,,8
2,1,4,Reforestation,Ungrazed,211606,819820,Leistus terminatus,,1
2,1,4,Reforestation,Ungrazed,211606,819820,Trechus obtusus,,2
2,2,5,Unforested,Grazed,211961,819910,Pterostichus diligens,,1
2,2,5,Unforested,Grazed,211961,819910,Pterostichus rhaeticus,,1
2,2,5,Unforested,Grazed,211961,819910,Carabus violaceus,,4
2,2,5,Unforested,Grazed,211961,819910,Nebria salina,,1
2,2,5,Unforested,Grazed,211961,819910,Pterostichus diligens,,2
2,2,5,Unforested,Grazed,211961,819910,Pterostichus rhaeticus,,8
2,2,5,Unforested,Grazed,211961,819910,Carabus problematicus,,3
2,2,5,Unforested,Grazed,211961,819910,Pterostichus diligens,,2
2,3,6,Unforested,Ungrazed,211733,819793,Agonum fuliginosum,,5
2,3,6,Unforested,Ungrazed,211733,819793,Pterostichus diligens,,2
2,3,6,Unforested,Ungrazed,211733,819793,Agonum fuliginosum,,7
2,3,6,Unforested,Ungrazed,211733,819793,Pterostichus rhaeticus,,4
2,3,6,Unforested,Ungrazed,211733,819793,Agonum fuliginosum,,1
2,3,6,Unforested,Ungrazed,211733,819793,Cychrus caraboides,,1
2,3,6,Unforested,Ungrazed,211733,819793,Pterostichus diligens,,3
3,1,7,Reforestation,Ungrazed,209650,820408,Cychrus caraboides,,1
3,1,7,Reforestation,Ungrazed,209650,820408,Pterostichus rhaeticus,,8
3,1,7,Reforestation,Ungrazed,209650,820408,Agonum fuliginosum,,2
3,1,7,Reforestation,Ungrazed,209650,820408,Cychrus caraboides,,8
3,1,7,Reforestation,Ungrazed,209650,820408,Pterostichus rhaeticus,,3
3,1,7,Reforestation,Ungrazed,209650,820408,Carabus problematicus,,1
3,1,7,Reforestation,Ungrazed,209650,820408,Cychrus caraboides,,1
3,2,8,Unforested,Grazed,209477,820390,Agonum fuliginosum,,1
3,2,8,Unforested,Grazed,209477,820390,Carabus problematicus,,3
3,2,8,Unforested,Grazed,209477,820390,Nebria salina,,1
3,2,8,Unforested,Grazed,209477,820390,Agonum fuliginosum,,2
3,2,8,Unforested,Grazed,209477,820390,Carabus violaceus,,1
3,2,8,Unforested,Grazed,209477,820390,Carabus glabratus,,1
3,2,8,Unforested,Grazed,209477,820390,Carabus problematicus,,1
3,2,8,Unforested,Grazed,209477,820390,Cychrus caraboides,,1
3,3,9,Unforested,Ungrazed,209527,820352,Agonum fuliginosum,,1
3,3,9,Unforested,Ungrazed,209527,820352,Carabus problematicus,,2
3,3,9,Unforested,Ungrazed,209527,820352,Pterostichus rhaeticus,,1
3,3,9,Unforested,Ungrazed,209527,820352,Agonum fuliginosum,,1
3,3,9,Unforested,Ungrazed,209527,820352,Pterostichus niger,,1
3,3,9,Unforested,Ungrazed,209527,820352,Pterostichus rhaeticus,,22
3,3,9,Unforested,Ungrazed,209527,820352,Agonum fuliginosum,,1
3,3,9,Unforested,Ungrazed,209527,820352,Cychrus caraboides,,1
4,1,10,Reforestation,Ungrazed,209745,820894,Carabus glabratus,,6
4,1,10,Reforestation,Ungrazed,209745,820894,Carabus violaceus,,1
4,1,10,Reforestation,Ungrazed,209745,820894,Pterostichus diligens,,1
4,1,10,Reforestation,Ungrazed,209745,820894,Carabus glabratus,,2
4,1,10,Reforestation,Ungrazed,209745,820894,Cychrus caraboides,,4
4,1,10,Reforestation,Ungrazed,209745,820894,Carabus glabratus,,2
4,2,11,Unforested,Grazed,209842,820897,Carabus arvensis,,4
4,2,11,Unforested,Grazed,209842,820897,Pterostichus rhaeticus,,7
4,2,11,Unforested,Grazed,209842,820897,Carabus arvensis,,3
4,2,11,Unforested,Grazed,209842,820897,Notiophilus palustris,,1
4,2,11,Unforested,Grazed,209842,820897,Pterostichus rhaeticus,,1
4,2,11,Unforested,Grazed,209842,820897,Carabus arvensis,,4
4,2,11,Unforested,Grazed,209842,820897,Carabus glabratus,,1
4,2,11,Unforested,Grazed,209842,820897,Carabus problematicus,,1
4,2,11,Unforested,Grazed,209842,820897,Pterostichus rhaeticus,,1
4,3,12,Unforested,Ungrazed,209792,820932,Carabus glabratus,,5
4,3,12,Unforested,Ungrazed,209792,820932,Cychrus caraboides,,1
4,3,12,Unforested,Ungrazed,209792,820932,Pterostichus rhaeticus,,1
4,3,12,Unforested,Ungrazed,209792,820932,Agonum fuliginosum,,1
4,3,12,Unforested,Ungrazed,209792,820932,Cychrus caraboides,,1
4,3,12,Unforested,Ungrazed,209792,820932,Pterostichus diligens,,1
4,3,12,Unforested,Ungrazed,209792,820932,Pterostichus rhaeticus,,1
4,3,12,Unforested,Ungrazed,209792,820932,Agonum fuliginosum,,1
4,3,12,Unforested,Ungrazed,209792,820932,Carabus glabratus,,2
4,3,12,Unforested,Ungrazed,209792,820932,Cychrus caraboides,,1
5,1,13,Reforestation,Ungrazed,208220,819946,Carabus glabratus,,1
5,1,13,Reforestation,Ungrazed,208220,819946,Trechus obtusus,,1
5,1,13,Reforestation,Ungrazed,208220,819946,Carabus glabratus,,1
5,1,13,Reforestation,Ungrazed,208220,819946,Carabus glabratus,,1
5,2,14,Unforested,Grazed,208779,820036,Carabus problematicus,,1
5,2,14,Unforested,Grazed,208779,820036,Pterostichus rhaeticus,,1
5,2,14,Unforested,Grazed,208779,820036,Agonum fuliginosum,,2
5,2,14,Unforested,Grazed,208779,820036,Carabus problematicus,,1
5,2,14,Unforested,Grazed,208779,820036,Carabus violaceus,,1
5,2,14,Unforested,Grazed,208779,820036,Pterostichus rhaeticus,,1
5,2,14,Unforested,Grazed,208779,820036,Agonum fuliginosum,,1
5,2,14,Unforested,Grazed,208779,820036,Carabus problematicus,,1
5,2,14,Unforested,Grazed,208779,820036,Cychrus caraboides,,3
5,2,14,Unforested,Grazed,208779,820036,Patrobus assimilis,,3
5,2,14,Unforested,Grazed,208779,820036,Pterostichus diligens,,1
5,2,14,Unforested,Grazed,208779,820036,Pterostichus niger,,2
5,2,14,Unforested,Grazed,208779,820036,Pterostichus rhaeticus,,2
5,3,15,Unforested,Ungrazed,208544,820053,Agonum fuliginosum,,2
5,3,15,Unforested,Ungrazed,208544,820053,Carabus problematicus,,1
5,3,15,Unforested,Ungrazed,208544,820053,Cychrus caraboides,,1
5,3,15,Unforested,Ungrazed,208544,820053,Pterostichus rhaeticus,,9
5,3,15,Unforested,Ungrazed,208544,820053,Agonum fuliginosum,,1
5,3,15,Unforested,Ungrazed,208544,820053,Carabus glabratus,,1
5,3,15,Unforested,Ungrazed,208544,820053,Carabus violaceus,,1
5,3,15,Unforested,Ungrazed,208544,820053,Pterostichus rhaeticus,,13
5,3,15,Unforested,Ungrazed,208544,820053,Agonum fuliginosum,,4
5,3,15,Unforested,Ungrazed,208544,820053,Carabus problematicus,,1
5,3,15,Unforested,Ungrazed,208544,820053,Cychrus caraboides,,1
6,1,16,Reforestation,Ungrazed,205803,818004,Leistus terminatus,,5
6,1,16,Reforestation,Ungrazed,205803,818004,Trechus obtusus,,1
6,1,16,Reforestation,Ungrazed,205803,818004,Carabus glabratus,,2
6,1,16,Reforestation,Ungrazed,205803,818004,Carabus problematicus,,3
6,1,16,Reforestation,Ungrazed,205803,818004,Cychrus caraboides,,1
6,1,16,Reforestation,Ungrazed,205803,818004,Pterostichus niger,,12
6,1,16,Reforestation,Ungrazed,205803,818004,Calathus micropterus,,1
6,1,16,Reforestation,Ungrazed,205803,818004,Carabus glabratus,,1
6,1,16,Reforestation,Ungrazed,205803,818004,Cychrus caraboides,,3
6,1,16,Reforestation,Ungrazed,205803,818004,Pterostichus niger,,2
6,2,17,Unforested,Grazed,206112,818073,Agonum fuliginosum,,2
6,2,17,Unforested,Grazed,206112,818073,Carabus problematicus,,1
6,2,17,Unforested,Grazed,206112,818073,Pterostichus rhaeticus,,2
6,2,17,Unforested,Grazed,206112,818073,Agonum fuliginosum,,1
6,2,17,Unforested,Grazed,206112,818073,Carabus problematicus,,1
6,2,17,Unforested,Grazed,206112,818073,Cychrus caraboides,,2
6,2,17,Unforested,Grazed,206112,818073,Pterostichus rhaeticus,,10
6,2,17,Unforested,Grazed,206112,818073,Agonum fuliginosum,,3
6,2,17,Unforested,Grazed,206112,818073,Carabus problematicus,,6
6,2,17,Unforested,Grazed,206112,818073,Pterostichus rhaeticus,,10
6,3,18,Unforested,Ungrazed,205930,818001,Agonum fuliginosum,,1
6,3,18,Unforested,Ungrazed,205930,818001,Carabus problematicus,,1
6,3,18,Unforested,Ungrazed,205930,818001,Cychrus caraboides,,1
6,3,18,Unforested,Ungrazed,205930,818001,Pterostichus diligens,,2
