ObservationIndex,ID,Site,Plot,Time,Species,Frequency,Grid_X,Grid_Y
1,1,1,1,1,Cychrus caraboides,1,212527,820214
2,1,1,1,1,Pterostichus diligens,3,212527,820214
3,1,1,1,2,Agonum fuliginosum,2,212527,820214
4,1,1,1,2,Carabus problematicus,1,212527,820214
5,1,1,1,3,Carabus glabratus,1,212527,820214
6,1,1,1,3,Cychrus caraboides,3,212527,820214
7,1,1,1,3,Leistus terminatus,1,212527,820214
8,1,1,1,3,Pterostichus diligens,1,212527,820214
9,2,1,2,1,Cychrus caraboides,1,212495,820173
10,2,1,2,1,Notiophilus palustris,1,212495,820173
11,2,1,2,1,Pterostichus diligens,8,212495,820173
12,2,1,2,1,Pterostichus rhaeticus,2,212495,820173
13,2,1,2,2,Agonum fuliginosum,2,212495,820173
14,2,1,2,2,Pterostichus diligens,5,212495,820173
15,2,1,2,2,Pterostichus rhaeticus,1,212495,820173
16,2,1,2,3,Carabus problematicus,1,212495,820173
17,2,1,2,3,Cychrus caraboides,1,212495,820173
18,3,1,3,1,Agonum fuliginosum,2,212468,820198
19,3,1,3,1,Pterostichus diligens,8,212468,820198
20,3,1,3,1,Pterostichus rhaeticus,3,212468,820198
21,3,1,3,2,Agonum fuliginosum,2,212468,820198
22,3,1,3,2,Cychrus caraboides,2,212468,820198
23,3,1,3,2,Pterostichus diligens,2,212468,820198
24,3,1,3,2,Pterostichus rhaeticus,1,212468,820198
25,3,1,3,3,Agonum fuliginosum,1,212468,820198
26,3,1,3,3,Carabus problematicus,2,212468,820198
27,4,2,1,1,Agonum fuliginosum,7,211606,819820
28,4,2,1,1,Carabus glabratus,1,211606,819820
29,4,2,1,1,Trechus obtusus,1,211606,819820
30,4,2,1,2,Agonum fuliginosum,6,211606,819820
31,4,2,1,2,Carabus glabratus,4,211606,819820
32,4,2,1,2,Leistus terminatus,5,211606,819820
33,4,2,1,2,Trechus obtusus,6,211606,819820
34,4,2,1,3,Carabus glabratus,4,211606,819820
35,4,2,1,3,Carabus problematicus,2,211606,819820
36,4,2,1,3,Leistus terminatus,1,211606,819820
37,4,2,1,3,Trechus obtusus,4,211606,819820
38,5,2,2,1,Pterostichus diligens,22,211961,819910
39,5,2,2,1,Pterostichus rhaeticus,1,211961,819910
40,5,2,2,2,Carabus violaceus,1,211961,819910
41,5,2,2,2,Nebria salina,1,211961,819910
42,5,2,2,2,Pterostichus diligens,2,211961,819910
43,5,2,2,2,Pterostichus rhaeticus,1,211961,819910
44,5,2,2,3,Carabus problematicus,2,211961,819910
45,5,2,2,3,Pterostichus diligens,2,211961,819910
46,6,2,3,1,Agonum fuliginosum,4,211733,819793
47,6,2,3,1,Pterostichus diligens,3,211733,819793
48,6,2,3,2,Agonum fuliginosum,5,211733,819793
49,6,2,3,2,Pterostichus rhaeticus,3,211733,819793
50,6,2,3,3,Agonum fuliginosum,1,211733,819793
51,6,2,3,3,Cychrus caraboides,1,211733,819793
52,6,2,3,3,Pterostichus diligens,1,211733,819793
53,7,3,1,1,Cychrus caraboides,1,209650,820408
54,7,3,1,1,Pterostichus rhaeticus,1,209650,820408
55,7,3,1,2,Agonum fuliginosum,10,209650,820408
56,7,3,1,2,Cychrus caraboides,2,209650,820408
57,7,3,1,2,Pterostichus rhaeticus,1,209650,820408
58,7,3,1,3,Carabus problematicus,4,209650,820408
59,7,3,1,3,Cychrus caraboides,1,209650,820408
60,8,3,2,1,Agonum fuliginosum,1,209477,820390
