ID,Species,geometryOrig
1,Cychrus caraboides,POINT (212527  820214)
1,Pterostichus diligens,POINT (212527  820214)
1,Agonum fuliginosum,POINT (212527  820214)
1,Carabus problematicus,POINT (212527  820214)
1,Carabus glabratus,POINT (212527  820214)
1,Cychrus caraboides,POINT (212527  820214)
1,Leistus terminatus,POINT (212527  820214)
1,Pterostichus diligens,POINT (212527  820214)
2,Cychrus caraboides,POINT (212495  820173)
2,Notiophilus palustris,POINT (212495  820173)
2,Pterostichus diligens,POINT (212495  820173)
2,Pterostichus rhaeticus,POINT (212495  820173)
2,Agonum fuliginosum,POINT (212495  820173)
2,Pterostichus diligens,POINT (212495  820173)
2,Pterostichus rhaeticus,POINT (212495  820173)
2,Carabus problematicus,POINT (212495  820173)
2,Cychrus caraboides,POINT (212495  820173)
3,Agonum fuliginosum,POINT (212468  820198)
3,Pterostichus diligens,POINT (212468  820198)
3,Pterostichus rhaeticus,POINT (212468  820198)
3,Agonum fuliginosum,POINT (212468  820198)
3,Cychrus caraboides,POINT (212468  820198)
3,Pterostichus diligens,POINT (212468  820198)
3,Pterostichus rhaeticus,POINT (212468  820198)
3,Agonum fuliginosum,POINT (212468  820198)
3,Carabus problematicus,POINT (212468  820198)
4,Agonum fuliginosum,POINT (211606  819820)
4,Carabus glabratus,POINT (211606  819820)
4,Trechus obtusus,POINT (211606  819820)
4,Agonum fuliginosum,POINT (211606  819820)
4,Carabus glabratus,POINT (211606  819820)
4,Leistus terminatus,POINT (211606  819820)
4,Trechus obtusus,POINT (211606  819820)
4,Carabus glabratus,POINT (211606  819820)
4,Carabus problematicus,POINT (211606  819820)
4,Leistus terminatus,POINT (211606  819820)
4,Trechus obtusus,POINT (211606  819820)
5,Pterostichus diligens,POINT (211961  819910)
5,Pterostichus rhaeticus,POINT (211961  819910)
5,Carabus violaceus,POINT (211961  819910)
5,Nebria salina,POINT (211961  819910)
5,Pterostichus diligens,POINT (211961  819910)
5,Pterostichus rhaeticus,POINT (211961  819910)
5,Carabus problematicus,POINT (211961  819910)
5,Pterostichus diligens,POINT (211961  819910)
6,Agonum fuliginosum,POINT (211733  819793)
6,Pterostichus diligens,POINT (211733  819793)
6,Agonum fuliginosum,POINT (211733  819793)
6,Pterostichus rhaeticus,POINT (211733  819793)
6,Agonum fuliginosum,POINT (211733  819793)
6,Cychrus caraboides,POINT (211733  819793)
6,Pterostichus diligens,POINT (211733  819793)
7,Cychrus caraboides,POINT (209650  820408)
7,Pterostichus rhaeticus,POINT (209650  820408)
7,Agonum fuliginosum,POINT (209650  820408)
7,Cychrus caraboides,POINT (209650  820408)
7,Pterostichus rhaeticus,POINT (209650  820408)
7,Carabus problematicus,POINT (209650  820408)
7,Cychrus caraboides,POINT (209650  820408)
8,Agonum fuliginosum,POINT (209477  820390)
8,Carabus problematicus,POINT (209477  820390)
8,Nebria salina,POINT (209477  820390)
8,Agonum fuliginosum,POINT (209477  820390)
8,Carabus violaceus,POINT (209477  820390)
8,Carabus glabratus,POINT (209477  820390)
8,Carabus problematicus,POINT (209477  820390)
8,Cychrus caraboides,POINT (209477  820390)
9,Agonum fuliginosum,POINT (209527  820352)
9,Carabus problematicus,POINT (209527  820352)
9,Pterostichus rhaeticus,POINT (209527  820352)
9,Agonum fuliginosum,POINT (209527  820352)
9,Pterostichus niger,POINT (209527  820352)
9,Pterostichus rhaeticus,POINT (209527  820352)
9,Agonum fuliginosum,POINT (209527  820352)
9,Cychrus caraboides,POINT (209527  820352)
10,Carabus glabratus,POINT (209745  820894)
10,Carabus violaceus,POINT (209745  820894)
10,Pterostichus diligens,POINT (209745  820894)
10,Carabus glabratus,POINT (209745  820894)
10,Cychrus caraboides,POINT (209745  820894)
10,Carabus glabratus,POINT (209745  820894)
11,Carabus arvensis,POINT (209842  820897)
11,Pterostichus rhaeticus,POINT (209842  820897)
11,Carabus arvensis,POINT (209842  820897)
11,Notiophilus palustris,POINT (209842  820897)
11,Pterostichus rhaeticus,POINT (209842  820897)
11,Carabus arvensis,POINT (209842  820897)
11,Carabus glabratus,POINT (209842  820897)
11,Carabus problematicus,POINT (209842  820897)
11,Pterostichus rhaeticus,POINT (209842  820897)
12,Carabus glabratus,POINT (209792  820932)
12,Cychrus caraboides,POINT (209792  820932)
12,Pterostichus rhaeticus,POINT (209792  820932)
12,Agonum fuliginosum,POINT (209792  820932)
12,Cychrus caraboides,POINT (209792  820932)
12,Pterostichus diligens,POINT (209792  820932)
12,Pterostichus rhaeticus,POINT (209792  820932)
12,Agonum fuliginosum,POINT (209792  820932)
12,Carabus glabratus,POINT (209792  820932)
12,Cychrus caraboides,POINT (209792  820932)
13,Carabus glabratus,POINT (208220  819946)
13,Trechus obtusus,POINT (208220  819946)
13,Carabus glabratus,POINT (208220  819946)
13,Carabus glabratus,POINT (208220  819946)
14,Carabus problematicus,POINT (208779  820036)
14,Pterostichus rhaeticus,POINT (208779  820036)
14,Agonum fuliginosum,POINT (208779  820036)
14,Carabus problematicus,POINT (208779  820036)
14,Carabus violaceus,POINT (208779  820036)
14,Pterostichus rhaeticus,POINT (208779  820036)
14,Agonum fuliginosum,POINT (208779  820036)
14,Carabus problematicus,POINT (208779  820036)
14,Cychrus caraboides,POINT (208779  820036)
14,Patrobus assimilis,POINT (208779  820036)
14,Pterostichus diligens,POINT (208779  820036)
14,Pterostichus niger,POINT (208779  820036)
14,Pterostichus rhaeticus,POINT (208779  820036)
15,Agonum fuliginosum,POINT (208544  820053)
15,Carabus problematicus,POINT (208544  820053)
15,Cychrus caraboides,POINT (208544  820053)
15,Pterostichus rhaeticus,POINT (208544  820053)
15,Agonum fuliginosum,POINT (208544  820053)
15,Carabus glabratus,POINT (208544  820053)
15,Carabus violaceus,POINT (208544  820053)
15,Pterostichus rhaeticus,POINT (208544  820053)
15,Agonum fuliginosum,POINT (208544  820053)
15,Carabus problematicus,POINT (208544  820053)
15,Cychrus caraboides,POINT (208544  820053)
16,Leistus terminatus,POINT (205803  818004)
16,Trechus obtusus,POINT (205803  818004)
16,Carabus glabratus,POINT (205803  818004)
16,Carabus problematicus,POINT (205803  818004)
16,Cychrus caraboides,POINT (205803  818004)
16,Pterostichus niger,POINT (205803  818004)
16,Calathus micropterus,POINT (205803  818004)
16,Carabus glabratus,POINT (205803  818004)
16,Cychrus caraboides,POINT (205803  818004)
16,Pterostichus niger,POINT (205803  818004)
17,Agonum fuliginosum,POINT (206112  818073)
17,Carabus problematicus,POINT (206112  818073)
17,Pterostichus rhaeticus,POINT (206112  818073)
17,Agonum fuliginosum,POINT (206112  818073)
17,Carabus problematicus,POINT (206112  818073)
17,Cychrus caraboides,POINT (206112  818073)
17,Pterostichus rhaeticus,POINT (206112  818073)
17,Agonum fuliginosum,POINT (206112  818073)
17,Carabus problematicus,POINT (206112  818073)
17,Pterostichus rhaeticus,POINT (206112  818073)
18,Agonum fuliginosum,POINT (205930  818001)
18,Carabus problematicus,POINT (205930  818001)
18,Cychrus caraboides,POINT (205930  818001)
18,Pterostichus diligens,POINT (205930  818001)
18,Pterostichus rhaeticus,POINT (205930  818001)
18,Agonum fuliginosum,POINT (205930  818001)
18,Carabus glabratus,POINT (205930  818001)
18,Carabus problematicus,POINT (205930  818001)
18,Cychrus caraboides,POINT (205930  818001)
18,Pterostichus diligens,POINT (205930  818001)
18,Pterostichus niger,POINT (205930  818001)
18,Pterostichus rhaeticus,POINT (205930  818001)
18,Carabus problematicus,POINT (205930  818001)
18,Cychrus caraboides,POINT (205930  818001)
18,Pterostichus rhaeticus,POINT (205930  818001)
19,Carabus glabratus,POINT (205205  818463)
19,Carabus problematicus,POINT (205205  818463)
19,Carabus violaceus,POINT (205205  818463)
19,Pterostichus niger,POINT (205205  818463)
19,Carabus glabratus,POINT (205205  818463)
19,Carabus problematicus,POINT (205205  818463)
19,Pterostichus niger,POINT (205205  818463)
19,Carabus glabratus,POINT (205205  818463)
19,Cychrus caraboides,POINT (205205  818463)
20,Nebria salina,POINT (205773  818728)
20,Pterostichus diligens,POINT (205773  818728)
20,Pterostichus rhaeticus,POINT (205773  818728)
20,Trechus obtusus,POINT (205773  818728)
20,Agonum fuliginosum,POINT (205773  818728)
20,Nebria salina,POINT (205773  818728)
20,Notiophilus biguttatus,POINT (205773  818728)
20,Pterostichus diligens,POINT (205773  818728)
20,Trechus obtusus,POINT (205773  818728)
20,Carabus glabratus,POINT (205773  818728)
20,Carabus problematicus,POINT (205773  818728)
20,Nebria salina,POINT (205773  818728)
20,Pterostichus diligens,POINT (205773  818728)
21,Pterostichus rhaeticus,POINT (205381  818550)
21,Carabus glabratus,POINT (205381  818550)
21,Carabus violaceus,POINT (205381  818550)
21,Cychrus caraboides,POINT (205381  818550)
22,Carabus glabratus,POINT (223516  825891)
22,Carabus problematicus,POINT (223516  825891)
22,Carabus glabratus,POINT (223516  825891)
22,Cychrus caraboides,POINT (223516  825891)
22,Carabus glabratus,POINT (223516  825891)
